url,battleneturl
http://eu.battle.net/sc2/en/profile/4234852/1/First/,53
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,29
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,35
http://eu.battle.net/sc2/en/profile/2896854/1/MǂForGG/,24
http://eu.battle.net/sc2/en/profile/3538115/1/Golden/,40
http://eu.battle.net/sc2/en/profile/250458/1/VortiX/,17
http://eu.battle.net/sc2/en/profile/3973341/1/yoeFWSan/,49
http://eu.battle.net/sc2/en/profile/2452136/1/MinChul/,16
http://eu.battle.net/sc2/en/profile/2222468/1/dTefel/,11
http://eu.battle.net/sc2/en/profile/4341883/1/Patience/,54
http://eu.battle.net/sc2/en/profile/950504/1/Grubby/,61
http://eu.battle.net/sc2/en/profile/2898004/1/MMA/,25
http://eu.battle.net/sc2/en/profile/251061/1/LiveZerg/,18
http://eu.battle.net/sc2/en/profile/1021189/1/Dayshi/,0
http://eu.battle.net/sc2/en/profile/326029/1/LiquidTLO/,32
http://eu.battle.net/sc2/en/profile/1058669/1/Happy/,2
http://eu.battle.net/sc2/en/profile/1139573/1/BabyKnight/,3
http://eu.battle.net/sc2/en/profile/2115876/1/FireCake/,9
http://eu.battle.net/sc2/en/profile/3368730/1/ToD/,34
http://eu.battle.net/sc2/en/profile/1143713/1/uThermal/,4
http://eu.battle.net/sc2/en/profile/3090974/1/IMMvp/,30
http://eu.battle.net/sc2/en/profile/4064798/1/yoda/,50
http://eu.battle.net/sc2/en/profile/2383348/1/LiquidBunny/,13
http://eu.battle.net/sc2/en/profile/4149248/1/JJAKJI/,52
http://eu.battle.net/sc2/en/profile/3010872/1/FnticHarstem/,28
http://eu.battle.net/sc2/en/profile/884897/1/LiquidSnute/,60
http://eu.battle.net/sc2/en/profile/2526293/1/Krr/,20
http://eu.battle.net/sc2/en/profile/315813/1/dBlinG/,31
http://eu.battle.net/sc2/en/profile/377576/1/LiquidMaNa/,44
http://eu.battle.net/sc2/en/profile/2101268/1/Stephano/,8
http://eu.battle.net/sc2/en/profile/284466/1/EGDeMusliM/,23
http://eu.battle.net/sc2/en/profile/788178/1/Nerchio/,59
http://eu.battle.net/sc2/en/profile/219517/1/TargA/,10
http://eu.battle.net/sc2/en/profile/1430346/1/ShoWTimE/,6
http://eu.battle.net/sc2/en/profile/239335/1/NightEnD/,15
http://eu.battle.net/sc2/en/profile/377903/1/Starbuck/,45
http://eu.battle.net/sc2/en/profile/2639840/1/Miniraser/,21
http://eu.battle.net/sc2/en/profile/2910724/1/Lilbow/,26
http://eu.battle.net/sc2/en/profile/498165/1/EmpireKas/,58
http://eu.battle.net/sc2/en/profile/1173786/1/VPbenQsLivko/,5
http://eu.battle.net/sc2/en/profile/349650/1/HasuObs/,38
http://eu.battle.net/sc2/en/profile/2048063/1/AcerBly/,7
http://eu.battle.net/sc2/en/profile/2385865/1/elfi/,14
http://eu.battle.net/sc2/en/profile/3437681/1/Lambo/,37
http://eu.battle.net/sc2/en/profile/3971497/1/Genius/,48
http://us.battle.net/sc2/en/profile/4665241/1/Pigbaby/,177
